PC_Timestamp,Seq_Num,Packet_Type,time_ms,engine_count,gear_count,engine_rpm,secondary_rpm,filtered_engine_rpm,filtered_secondary_rpm,target_rpm,engine_rpm_error,ecvt_velocity_command,ecvt_velocity,ecvt_pos,ecvt_iq,ecvt_bus_voltage,ecvt_bus_current,ecvt_total_charge_used,ecvt_total_power_used,ecvt_inbound_limit_switch,ecvt_outbound_limit_switch,ecvt_engage_limit_switch,centerlock_velocity_command,centerlock_velocity,centerlock_pos,centerlock_iq,centerlock_bus_voltage,centerlock_bus_current,centerlock_total_charge_used,centerlock_total_power_used,centerlock_inbound_limit_switch,centerlock_outbound_limit_switch
1783468537.420171,0,1,0.0,0.0,0.0,2695.304147,1001.671401,2969.530415,908.133712,3000.0,-30.469585,-0.365635,0.712105,0.150534,0.021434,47.94222,0.051692,0.0,0.024782,0.0,0.0,0.0,0.0,0.034434,3.4e-05,0.034525,47.985277,0.044725,0.0,0.021461,1.0,0.0
1783468537.430171,1,1,10.0,10.939364,8.740683,2734.840982,1048.881909,2946.061471,919.393568,3000.0,-53.938529,-0.647262,-0.238278,0.150355,0.176044,48.058468,0.110134,0.0,0.077711,0.0,0.0,0.0,0.0,-0.166119,0.0,0.042011,47.973805,0.03795,0.0,0.039667,1.0,0.0
1783468537.440171,2,1,20.0,21.622842,16.90555,2702.855263,1014.332997,2921.740851,926.988722,3000.0,-78.259149,-0.93911,-1.079512,0.149546,0.250039,48.057782,0.15362,1e-06,0.151537,0.0,0.0,0.0,0.0,-0.138223,0.0,0.0,48.029633,0.0,0.0,0.039667,1.0,0.0
1783468537.450171,3,1,30.0,32.405873,25.507961,2700.489377,1020.318426,2899.615703,934.455099,3000.0,-100.384297,-1.204612,-1.491947,0.148427,0.365719,48.045584,0.122748,1e-06,0.210512,0.0,0.0,0.0,0.0,-0.197667,0.0,0.0,48.061878,0.006416,0.0,0.042751,1.0,0.0
1783468537.460171,4,1,40.0,44.248302,33.688358,2765.518855,1010.65073,2886.206018,940.550749,3000.0,-113.793982,-1.365528,-0.996995,0.147679,0.326563,48.007467,0.153278,2e-06,0.284097,0.0,0.0,0.0,0.0,0.195226,0.000195,0.061686,47.994833,0.0,0.0,0.042751,1.0,0.0
1783468537.470171,5,1,50.0,54.217556,41.467418,2710.877789,995.218036,2868.673195,944.924132,3000.0,-131.326805,-1.575922,-2.14847,0.146068,0.349088,47.971217,0.251193,2e-06,0.404597,0.0,0.0,0.0,0.0,-0.12073,7.4e-05,0.0,48.016751,0.00047,0.0,0.042977,1.0,0.0
1783468537.480171,6,1,60.0,66.266916,50.68297,2761.121481,1013.659397,2857.918024,950.422953,3000.0,-142.081976,-1.704984,-0.463136,0.14572,0.293681,48.012515,0.14914,3e-06,0.476203,0.0,0.0,0.0,0.0,-0.104271,0.0,0.0,48.025796,0.0,0.0,0.042977,1.0,0.0
1783468537.490171,7,1,70.0,76.987614,59.447834,2749.557636,1019.105723,2847.081985,955.917575,3000.0,-152.918015,-1.835016,-1.236636,0.144793,0.214221,48.036143,0.149487,3e-06,0.548011,0.0,0.0,0.0,0.0,0.092681,9.3e-05,0.0,48.080108,0.0,0.0,0.042977,1.0,0.0
1783468537.500171,8,1,80.0,87.527486,67.805837,2735.233924,1017.087557,2835.897179,960.811173,3000.0,-164.102821,-1.969234,-2.19222,0.143149,0.378147,47.994396,0.21082,4e-06,0.649192,0.0,0.0,0.0,0.0,-0.073535,1.9e-05,0.091768,48.079275,0.038062,0.0,0.061277,1.0,0.0
1783468537.510171,9,1,90.0,98.805213,76.757518,2744.589258,1023.433575,2826.766387,965.820966,3000.0,-173.233613,-2.078803,-0.656288,0.142656,0.676303,48.031338,0.182345,4e-06,0.736775,0.0,0.0,0.0,0.0,0.264141,0.000283,0.041143,48.00475,0.0,0.0,0.061277,1.0,0.0
